Time,X,Y,Z,A,B,C,S,T
0.84,739.710022,51.562,474.13501,-93.905998,1.273,177.848999,2,11
0.852,739.710022,51.562,474.13501,-93.905998,1.273,177.848999,2,11
0.864,739.710022,51.562,474.13501,-93.905998,1.273,177.848999,2,11
0.876,739.710022,51.562,474.13501,-93.905998,1.273,177.848999,2,11
0.888,739.709045,51.552402,474.133911,-93.905098,1.272996,177.849045,2,11
0.9,739.7052,51.514011,474.129547,-93.901497,1.272981,177.849258,2,11
0.912,739.696594,51.42762,474.11972,-93.893394,1.272947,177.849716,2,11
0.924,739.681396,51.274021,474.102264,-93.87899,1.272886,177.850555,2,11
0.936,739.657776,51.033997,474.074982,-93.856483,1.272791,177.851852,2,11
0.948,739.624023,50.688324,474.035736,-93.824081,1.272655,177.853714,2,11
0.96,739.57843,50.217777,473.98233,-93.779968,1.272469,177.856247,2,11
0.972,739.51947,49.603127,473.912628,-93.722359,1.272225,177.859573,2,11
0.984,739.446472,48.83474,473.825623,-93.650345,1.271919,177.863708,2,11
0.996,739.359924,47.912563,473.721283,-93.563927,1.271549,177.868683,2,11
1.008,739.260437,46.836548,473.599762,-93.463104,1.271114,177.874496,2,11
1.02,739.148682,45.606621,473.46109,-93.347878,1.270611,177.881119,2,11
1.032,739.025452,44.222713,473.305359,-93.218254,1.27004,177.88858,2,11
1.044,738.891602,42.68475,473.13266,-93.074226,1.269398,177.896866,2,11
1.056,738.748047,40.992638,472.943115,-92.915787,1.268682,177.905975,2,11
1.068,738.596008,39.146297,472.736877,-92.742958,1.26789,177.915909,2,11
1.08,738.436523,37.145634,472.514038,-92.555717,1.26702,177.926666,2,11
1.092,738.270874,34.990551,472.27475,-92.354073,1.266067,177.938263,2,11
1.104,738.100525,32.680958,472.019196,-92.138031,1.265029,177.950668,2,11
1.116,737.926819,30.216757,471.747498,-91.907585,1.263902,177.963898,2,11
1.128,737.751343,27.59786,471.4599,-91.662727,1.262683,177.977951,2,11
1.14,737.575806,24.824179,471.156586,-91.403481,1.261367,177.992828,2,11
1.152,737.401855,21.895634,470.837738,-91.129822,1.25995,178.008514,2,11
1.164,737.231506,18.812147,470.503571,-90.841766,1.258428,178.025024,2,11
1.176,737.066589,15.573658,470.154358,-90.539299,1.256796,178.042358,2,11
1.188,736.909119,12.180112,469.790314,-90.222435,1.255049,178.060501,2,11
1.2,736.761353,8.631472,469.411743,-89.891167,1.253182,178.079453,2,11
1.212,736.625549,4.927712,469.01886,-89.545502,1.25119,178.099228,2,10
1.224,736.503906,1.068831,468.61203,-89.185425,1.249067,178.119797,2,10
1.236,736.398987,-2.945157,468.191528,-88.810951,1.246807,178.141174,2,10
1.248,736.313232,-7.114211,467.757629,-88.422073,1.244405,178.163376,2,10
1.26,736.24939,-11.438266,467.31076,-88.018791,1.241854,178.186356,2,10
1.272,736.210144,-15.917228,466.851196,-87.601112,1.239148,178.210159,2,10
1.284,736.198242,-20.550972,466.379333,-87.169029,1.23628,178.234741,2,10
1.296,736.216736,-25.339338,465.895569,-86.722542,1.233244,178.260132,2,10
1.308,736.268555,-30.282127,465.400299,-86.26165,1.230032,178.286301,2,10
1.32,736.356873,-35.379105,464.893921,-85.786354,1.226638,178.313278,2,10
1.332,736.484863,-40.62999,464.376892,-85.296661,1.223054,178.341019,2,10
1.344,736.655823,-46.034454,463.84967,-84.792564,1.219273,178.369553,2,10
1.356,736.87323,-51.592125,463.312683,-84.274071,1.215287,178.398865,2,10
1.368,737.140442,-57.302567,462.766449,-83.741173,1.211088,178.42894,2,10
1.38,737.461121,-63.165295,462.211487,-83.193871,1.206668,178.459793,2,10
1.392,737.838989,-69.179764,461.648285,-82.632164,1.202019,178.491409,2,10
1.404,738.27771,-75.34536,461.077393,-82.056061,1.197132,178.523788,2,10
1.416,738.781189,-81.661407,460.499359,-81.465553,1.192,178.556931,2,10
1.428,739.353333,-88.127151,459.914795,-80.860649,1.186613,178.590805,2,10
1.44,739.99823,-94.741783,459.324249,-80.241341,1.180963,178.625427,2,10
1.452,740.719971,-101.504387,458.728363,-79.607628,1.17504,178.660797,2,10
1.464,741.522705,-108.413986,458.127777,-78.959518,1.168836,178.696884,2,10
1.476,742.410767,-115.469498,457.523132,-78.297005,1.162341,178.733704,2,10
1.488,743.388428,-122.669769,456.9151,-77.620094,1.155546,178.77124,2,10
1.5,744.460266,-130.013535,456.304352,-76.928787,1.148441,178.809494,2,10
1.512,745.630676,-137.499435,455.691589,-76.223076,1.141017,178.84845,2,10
1.524,746.904236,-145.126022,455.077545,-75.502968,1.133263,178.888092,2,10
1.536,748.285645,-152.891724,454.462982,-74.768463,1.125171,178.928436,2,10
1.548,749.779663,-160.79483,453.848633,-74.019554,1.11673,178.969452,2,10
1.56,751.390991,-168.833572,453.23526,-73.256248,1.10793,179.011124,2,10
1.572,753.124512,-177.005997,452.623688,-72.478554,1.09876,179.053482,2,10
1.584,754.985168,-185.310074,452.01474,-71.686455,1.089212,179.096466,2,10
1.596,756.977844,-193.743622,451.40921,-70.879959,1.079274,179.140106,2,10
1.608,759.107666,-202.304291,450.807953,-70.059067,1.068937,179.184357,2,10
1.62,761.379639,-210.989639,450.211884,-69.223785,1.05819,179.229233,2,10
1.632,763.798828,-219.797058,449.621826,-68.374107,1.047024,179.274719,2,10
1.644,766.370483,-228.723755,449.038727,-67.51004,1.035428,179.320786,2,10
1.656,769.09967,-237.76683,448.46347,-66.631577,1.023393,179.367432,2,10
